chapter_index,chapter_title,place,character,place_mentions,character_mentions
1,說楔子敷陳大義　借名流隱括全文,苏州,王冕,1,69
1,說楔子敷陳大義　借名流隱括全文,济南,王冕,2,69
11,魯小姐制義難新郎　楊司訓相府薦賢士,湖州,魯編修,1,3
12,名士大宴鶯脰湖　俠客虛設人頭會,杭州,魯編修,1,2
12,名士大宴鶯脰湖　俠客虛設人頭會,湖州,魯編修,3,2
16,大柳莊孝子事親　樂清縣賢宰愛士,杭州,匡超人,1,44
17,匡秀才重遊舊地　趙醫生高踞詩壇,杭州,匡超人,2,40
17,匡秀才重遊舊地　趙醫生高踞詩壇,湖州,匡超人,2,40
20,匡超人高興長安道　牛布衣客死蕪湖關,南京,匡超人,2,35
20,匡超人高興長安道　牛布衣客死蕪湖關,杭州,匡超人,2,35
20,匡超人高興長安道　牛布衣客死蕪湖關,扬州,匡超人,3,35
